[2020/7/24 - 21:35:58] Hades_DepTrai (ID: 0 | SQL ID: 24162 | Level: 1 | IP: 127.0.0.1) has logged in.
[2020/7/24 - 21:36:17] Hades_DepTrai (ID: 0 | SQL ID: 24162 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2020/7/24 - 21:48:04] Hades_DepTrai (ID: 0 | SQL ID: 24162 | Level: 1 | IP: 127.0.0.1) has logged in.
[2020/7/24 - 21:56:21] Hades_DepTrai (ID: 0 | SQL ID: 24162 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2020/7/25 - 8:57:10] Hades_DepTrai (ID: 0 | SQL ID: 24162 | Level: 1 | IP: 127.0.0.1) has logged in.
[2020/7/25 - 8:57:41] Hades_DepTrai (ID: 0 | SQL ID: 24162 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2020/7/25 - 12:23:51] Hades_DepTrai (ID: 0 | SQL ID: 24162 | Level: 1 | IP: 127.0.0.1) has logged in.
[2020/7/25 - 12:28:59] Hades_DepTrai (ID: 0 | SQL ID: 24162 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2020/7/25 - 12:50:32] Hades_DepTrai (ID: 0 | SQL ID: 24162 | Level: 1 | IP: 127.0.0.1) has logged in.
[2020/7/25 - 12:51:18] Hades_DepTrai (ID: 0 | SQL ID: 24162 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2020/7/25 - 13:16:50] Hades_DepTrai (ID: 0 | SQL ID: 24162 | Level: 1 | IP: 127.0.0.1) has logged in.
[2020/7/25 - 13:17:37] Hades_DepTrai (ID: 0 | SQL ID: 24162 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2020/7/25 - 18:31:12] Hades_DepTrai (ID: 0 | SQL ID: 24162 | Level: 1 | IP: 127.0.0.1) has logged in.
[2020/7/25 - 18:37:19] Hades_DepTrai (ID: 0 | SQL ID: 24162 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2020/7/26 - 12:07:02] Hades_DepTrai (ID: 0 | SQL ID: 24162 | Level: 1 | IP: 127.0.0.1) has logged in.
[2020/7/26 - 12:09:01] Hades_DepTrai (ID: 0 | SQL ID: 24162 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2020/7/26 - 12:09:18] Hades_DepTrai (ID: 0 | SQL ID: 24162 | Level: 1 | IP: 127.0.0.1) has logged in.
[2020/7/26 - 12:09:30] Hades_DepTrai (ID: 0 | SQL ID: 24162 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2020/7/26 - 12:26:48] Hades_DepTrai (ID: 0 | SQL ID: 24162 | Level: 1 | IP: 127.0.0.1) has logged in.
[2020/7/26 - 12:27:53] Hades_DepTrai (ID: 0 | SQL ID: 24162 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2020/8/15 - 21:09:34] Hades_DepTrai (ID: 0 | SQL ID: 24162 | Level: 1 | IP: 192.168.1.6) has logged in.
[2020/8/15 - 21:13:26] Hades_DepTrai (ID: 0 | SQL ID: 24162 | Level: 1 | IP: 192.168.1.6) has disconnected.
[2020/8/15 - 21:25:08] Hades_DepTrai (ID: 0 | SQL ID: 24162 | Level: 1 | IP: 192.168.1.6) has logged in.
[2020/8/15 - 21:28:52] Hades_DepTrai (ID: 0 | SQL ID: 24162 | Level: 2 | IP: 192.168.1.6) has disconnected.
[2020/8/15 - 22:02:57] Hades_DepTrai (ID: 0 | SQL ID: 24162 | Level: 2 | IP: 192.168.1.6) has logged in.
[2020/8/15 - 22:04:16] Hades_DepTrai (ID: 0 | SQL ID: 24162 | Level: 2 | IP: 192.168.1.6) has disconnected.
[2020/8/15 - 22:04:46] Hades_DepTrai (ID: 0 | SQL ID: 24162 | Level: 2 | IP: 16.30.192.213) has logged in.
[2020/8/15 - 22:05:03] Huynh_Chuc (ID: 1 | SQL ID: 24163 | Level: 1 | IP: 14.183.137.164) has logged in.
[2020/8/15 - 22:07:08] Hades_DepTrai (ID: 0 | SQL ID: 24162 | Level: 2 | IP: 16.30.192.213) has disconnected.
